37
0	67	1	0	0
69	1023	1	1	1
1024	1092	1	2	2
1093	2674	1	3	3
2675	2749	1	4	4
2750	3706	1	5	5
3705	3773	1	6	6
3771	3841	2	7	7
3844	3912	1	8	8
3913	4950	1	9	9
4949	5015	1	10	10
5017	5085	2	11	11
5088	5158	2	12	12
5191	5256	2	13	13
5259	5325	2	14	14
5327	6871	1	15	15
6869	6937	2	16	16
6941	7010	1	17	17
7012	7695	1	18	18
7699	7763	1	19	19
7765	7968	1	20	20
7926	8606	1	21	21
8606	9389	1	22	22
9390	9457	1	23	23
9458	9805	1	24	24
9807	9874	1	25	25
9876	10172	1	26	26
10166	11543	1	27	27
11545	11611	1	28	28
11612	11670	1	29	29
11670	11740	1	30	30
11741	13564	1	31	31
13551	14069	2	32	32
14070	14138	2	33	33
14144	15287	1	34	34
15288	15354	1	35	35
15355	15421	2	36	36
