Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
sample_a1	6815.0	7053.0	148.0	6.0	23.0
sample_a2	6763.0	6974.0	140.0	4.0	17.0
sample_a3	6907.0	7112.0	146.0	6.0	17.0
sample_a4	3403.0	3468.0	4.0	3.0	1168.0
sample_b1	6765.0	7012.0	165.0	7.0	18.0
sample_b2	6719.0	6993.0	162.0	5.0	24.0
sample_b3	6949.0	7059.0	39.0	6.0	14.0
sample_b4	6773.0	6987.0	142.0	9.0	25.0
