Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped
sample_a1	0.014045	0.014022	99.83000000000001	0.014015999999999999	99.79	6e-06
sample_a2	0.013897999999999999	0.013881	99.88	0.013876999999999999	99.85	4e-06
sample_a3	0.014188	0.014171	99.88000000000001	0.014164999999999999	99.84	6e-06
sample_a4	0.008046	0.0068779999999999996	85.49000000000001	0.006875	85.45	3e-06
sample_b1	0.013966999999999999	0.013949	99.86999999999999	0.013942	99.82	7e-06
sample_b2	0.013902999999999999	0.013878999999999999	99.83000000000001	0.013874	99.79	4.9999999999999996e-06
sample_b3	0.014067	0.014053	99.9	0.014046999999999999	99.86	6e-06
sample_b4	0.013935999999999999	0.013911	99.82000000000001	0.013902	99.76	9e-06
