Sample	Overlapping Genes	Ambiguous Features	Multimapping	Unmapped
sample_a1	13766.0	292.0	11.0	0.0
sample_a2	13590.0	319.0	12.0	0.0
sample_a3	13905.0	306.0	9.0	0.0
sample_a4	6876.0	18.0	7.0	1298.0
sample_b1	13642.0	338.0	14.0	0.0
sample_b2	13592.0	327.0	13.0	0.0
sample_b3	13868.0	206.0	21.0	0.0
sample_b4	13650.0	299.0	9.0	0.0
