Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample_a1	(0.0, 0.037439161362785474)	(1.0, 0.037439161362785474)	(2.0, 0.037439161362785474)	(3.0, 0.037439161362785474)	(4.0, 0.037439161362785474)	(5.0, 0.037439161362785474)	(6.0, 0.037439161362785474)	(7.0, 0.037439161362785474)	(8.0, 0.037439161362785474)	(9.0, 0.037439161362785474)	(10.0, 0.037439161362785474)	(11.0, 0.037439161362785474)	(12.0, 0.037439161362785474)	(13.0, 0.042787612986040544)	(14.0, 0.04813606460929561)	(15.0, 0.04813606460929561)	(16.0, 0.04813606460929561)	(17.0, 0.045461838797668075)	(18.0, 0.05348451623255068)	(19.0, 0.11231748408835641)	(20.0, 0.26474835535112584)	(21.0, 0.47066374284644596)	(22.0, 0.5000802267743488)	(23.0, 0.4599668395999358)	(24.0, 0.44926993635342566)	(25.0, 0.4653152912231909)	(26.0, 0.7086698400812965)	(27.0, 1.2167727442905278)	(28.0, 1.9762528747927475)	(29.0, 2.815959779643793)	(30.0, 3.591485265015778)	(31.0, 4.431192169866824)	(32.0, 5.273573300529496)	(33.0, 6.030379205220089)	(34.0, 6.3887254639781785)	(35.0, 6.466278012515376)	(36.0, 7.054607691073435)	(37.0, 7.477135369310585)	(38.0, 6.936941755361822)	(39.0, 6.4475584318339845)	(40.0, 5.960849334117773)	(41.0, 4.76012194469701)	(42.0, 3.5326522971599723)	(43.0, 2.8079371022089106)	(44.0, 2.291811520564796)	(45.0, 1.7222014226881317)	(46.0, 1.3558324864951596)	(47.0, 1.3264160025672567)	(48.0, 1.2996737444509814)	(49.0, 0.9841150986789324)	(50.0, 0.7033213884580414)	(51.0, 0.5455420655720169)	(52.0, 0.33695245226506926)	(53.0, 0.18452158100229984)	(54.0, 0.10162058084184629)	(55.0, 0.07487832272557095)	(56.0, 0.07487832272557095)	(57.0, 0.06418141947906081)	(58.0, 0.05615874204417821)	(59.0, 0.05348451623255068)	(60.0, 0.05348451623255068)	(61.0, 0.05348451623255068)	(62.0, 0.05348451623255068)	(63.0, 0.05348451623255068)	(64.0, 0.05348451623255068)	(65.0, 0.05348451623255068)	(66.0, 0.05348451623255068)	(67.0, 0.05348451623255068)	(68.0, 0.05348451623255068)	(69.0, 0.05348451623255068)	(70.0, 0.05348451623255068)	(71.0, 0.05348451623255068)	(72.0, 0.05348451623255068)	(73.0, 0.05348451623255068)	(74.0, 0.05348451623255068)	(75.0, 0.04813606460929561)	(76.0, 0.042787612986040544)	(77.0, 0.042787612986040544)	(78.0, 0.042787612986040544)	(79.0, 0.042787612986040544)	(80.0, 0.042787612986040544)	(81.0, 0.042787612986040544)	(82.0, 0.042787612986040544)	(83.0, 0.029416483927902873)	(84.0, 0.016045354869765202)	(85.0, 0.016045354869765202)	(86.0, 0.016045354869765202)	(87.0, 0.016045354869765202)	(88.0, 0.016045354869765202)	(89.0, 0.016045354869765202)	(90.0, 0.016045354869765202)	(91.0, 0.016045354869765202)	(92.0, 0.016045354869765202)	(93.0, 0.016045354869765202)	(94.0, 0.016045354869765202)	(95.0, 0.016045354869765202)	(96.0, 0.016045354869765202)	(97.0, 0.016045354869765202)	(98.0, 0.016045354869765202)	(99.0, 0.016045354869765202)	(100.0, 0.016045354869765202)
sample_a2	(0.0, 0.03257859586251832)	(1.0, 0.03257859586251832)	(2.0, 0.03257859586251832)	(3.0, 0.03257859586251832)	(4.0, 0.03257859586251832)	(5.0, 0.03257859586251832)	(6.0, 0.03257859586251832)	(7.0, 0.03257859586251832)	(8.0, 0.03257859586251832)	(9.0, 0.03257859586251832)	(10.0, 0.03257859586251832)	(11.0, 0.03257859586251832)	(12.0, 0.03257859586251832)	(13.0, 0.029863712873975132)	(14.0, 0.02714882988543194)	(15.0, 0.02714882988543194)	(16.0, 0.02714882988543194)	(17.0, 0.03257859586251832)	(18.0, 0.05158277678232068)	(19.0, 0.11945485149590053)	(20.0, 0.2714882988543194)	(21.0, 0.40994733127002225)	(22.0, 0.5022533528804909)	(23.0, 0.5484063636857252)	(24.0, 0.5022533528804909)	(25.0, 0.4913938209263181)	(26.0, 0.6407123852961937)	(27.0, 1.0316555356464137)	(28.0, 1.8244013683010263)	(29.0, 2.6388662648639842)	(30.0, 3.472335342346745)	(31.0, 4.311234185806591)	(32.0, 5.030678177770538)	(33.0, 5.907585383069989)	(34.0, 6.453276863767171)	(35.0, 6.513004289515122)	(36.0, 6.955530216647662)	(37.0, 7.506651463321931)	(38.0, 7.362762664929141)	(39.0, 6.86865396101428)	(40.0, 6.070478362382581)	(41.0, 4.951946571102785)	(42.0, 3.8334147798229896)	(43.0, 2.8696313188901557)	(44.0, 2.174621273823098)	(45.0, 1.7592441765759896)	(46.0, 1.5447684204810772)	(47.0, 1.468751696801868)	(48.0, 1.4307433349622631)	(49.0, 1.0778085464516478)	(50.0, 0.6597165662159961)	(51.0, 0.5022533528804909)	(52.0, 0.3257859586251832)	(53.0, 0.15474833034696203)	(54.0, 0.0895911386219254)	(55.0, 0.06787207471357985)	(56.0, 0.03529347885106152)	(57.0, 0.02714882988543194)	(58.0, 0.02714882988543194)	(59.0, 0.02714882988543194)	(60.0, 0.02714882988543194)	(61.0, 0.02714882988543194)	(62.0, 0.02714882988543194)	(63.0, 0.029863712873975132)	(64.0, 0.03257859586251832)	(65.0, 0.03257859586251832)	(66.0, 0.03257859586251832)	(67.0, 0.03257859586251832)	(68.0, 0.03257859586251832)	(69.0, 0.03257859586251832)	(70.0, 0.03257859586251832)	(71.0, 0.03257859586251832)	(72.0, 0.03257859586251832)	(73.0, 0.03257859586251832)	(74.0, 0.03257859586251832)	(75.0, 0.029863712873975132)	(76.0, 0.02714882988543194)	(77.0, 0.02714882988543194)	(78.0, 0.02714882988543194)	(79.0, 0.02714882988543194)	(80.0, 0.02714882988543194)	(81.0, 0.02714882988543194)	(82.0, 0.02714882988543194)	(83.0, 0.021719063908345552)	(84.0, 0.01628929793125916)	(85.0, 0.01628929793125916)	(86.0, 0.01628929793125916)	(87.0, 0.01628929793125916)	(88.0, 0.01357441494271597)	(89.0, 0.010859531954172776)	(90.0, 0.010859531954172776)	(91.0, 0.010859531954172776)	(92.0, 0.010859531954172776)	(93.0, 0.010859531954172776)	(94.0, 0.010859531954172776)	(95.0, 0.010859531954172776)	(96.0, 0.010859531954172776)	(97.0, 0.010859531954172776)	(98.0, 0.010859531954172776)	(99.0, 0.010859531954172776)	(100.0, 0.010859531954172776)
sample_a3	(0.0, 0.021199353419720696)	(1.0, 0.021199353419720696)	(2.0, 0.021199353419720696)	(3.0, 0.021199353419720696)	(4.0, 0.021199353419720696)	(5.0, 0.021199353419720696)	(6.0, 0.021199353419720696)	(7.0, 0.021199353419720696)	(8.0, 0.021199353419720696)	(9.0, 0.021199353419720696)	(10.0, 0.021199353419720696)	(11.0, 0.021199353419720696)	(12.0, 0.021199353419720696)	(13.0, 0.021199353419720696)	(14.0, 0.021199353419720696)	(15.0, 0.021199353419720696)	(16.0, 0.021199353419720696)	(17.0, 0.026499191774650873)	(18.0, 0.04239870683944139)	(19.0, 0.09274717121127805)	(20.0, 0.2278930492619975)	(21.0, 0.3285899780056708)	(22.0, 0.38158836155497255)	(23.0, 0.4372366642817394)	(24.0, 0.484935209476111)	(25.0, 0.5008347245409015)	(26.0, 0.6942788244958529)	(27.0, 1.2163129024564752)	(28.0, 1.8814426160002122)	(29.0, 2.702917561014389)	(30.0, 3.503193152608845)	(31.0, 4.367066804462464)	(32.0, 5.1964915070090365)	(33.0, 5.750324615099239)	(34.0, 6.272358693059861)	(35.0, 6.714895195696531)	(36.0, 7.1998304051726425)	(37.0, 7.430373373612105)	(38.0, 7.308477091448711)	(39.0, 6.834141558682461)	(40.0, 5.8722208972626335)	(41.0, 4.743355327662506)	(42.0, 3.648938707369425)	(43.0, 2.848663115774969)	(44.0, 2.363727906298858)	(45.0, 1.8575933434030263)	(46.0, 1.4945544160903093)	(47.0, 1.4336062750086123)	(48.0, 1.3514587805071945)	(49.0, 1.0997164586480113)	(50.0, 0.7817261573522009)	(51.0, 0.5405835122028778)	(52.0, 0.3126904629408803)	(53.0, 0.17224474653523067)	(54.0, 0.1033468479211384)	(55.0, 0.06624797943662719)	(56.0, 0.06094814108169701)	(57.0, 0.05829822190423192)	(58.0, 0.05564830272676684)	(59.0, 0.052998383549301746)	(60.0, 0.052998383549301746)	(61.0, 0.052998383549301746)	(62.0, 0.052998383549301746)	(63.0, 0.052998383549301746)	(64.0, 0.052998383549301746)	(65.0, 0.052998383549301746)	(66.0, 0.052998383549301746)	(67.0, 0.052998383549301746)	(68.0, 0.052998383549301746)	(69.0, 0.052998383549301746)	(70.0, 0.052998383549301746)	(71.0, 0.052998383549301746)	(72.0, 0.052998383549301746)	(73.0, 0.052998383549301746)	(74.0, 0.052998383549301746)	(75.0, 0.03974878766197631)	(76.0, 0.026499191774650873)	(77.0, 0.026499191774650873)	(78.0, 0.026499191774650873)	(79.0, 0.026499191774650873)	(80.0, 0.026499191774650873)	(81.0, 0.026499191774650873)	(82.0, 0.026499191774650873)	(83.0, 0.015899515064790523)	(84.0, 0.005299838354930174)	(85.0, 0.005299838354930174)	(86.0, 0.005299838354930174)	(87.0, 0.005299838354930174)	(88.0, 0.005299838354930174)	(89.0, 0.005299838354930174)	(90.0, 0.005299838354930174)	(91.0, 0.005299838354930174)	(92.0, 0.005299838354930174)	(93.0, 0.005299838354930174)	(94.0, 0.005299838354930174)	(95.0, 0.005299838354930174)	(96.0, 0.005299838354930174)	(97.0, 0.005299838354930174)	(98.0, 0.005299838354930174)	(99.0, 0.005299838354930174)	(100.0, 0.005299838354930174)
sample_a4	(0.0, 0.01816282976887799)	(1.0, 0.01816282976887799)	(2.0, 0.01816282976887799)	(3.0, 0.01816282976887799)	(4.0, 0.01816282976887799)	(5.0, 0.01816282976887799)	(6.0, 0.02270353721109749)	(7.0, 0.027244244653316988)	(8.0, 0.027244244653316988)	(9.0, 0.027244244653316988)	(10.0, 0.027244244653316988)	(11.0, 0.027244244653316988)	(12.0, 0.027244244653316988)	(13.0, 0.027244244653316988)	(14.0, 0.027244244653316988)	(15.0, 0.027244244653316988)	(16.0, 0.027244244653316988)	(17.0, 0.02270353721109749)	(18.0, 0.01816282976887799)	(19.0, 0.01816282976887799)	(20.0, 0.02270353721109749)	(21.0, 0.03632565953775598)	(22.0, 0.04086636697997548)	(23.0, 0.03632565953775598)	(24.0, 0.04540707442219498)	(25.0, 0.08173273395995095)	(26.0, 0.14984334559324344)	(27.0, 0.2134132497843164)	(28.0, 0.3541751804931208)	(29.0, 0.6266176270262906)	(30.0, 0.9263043182127775)	(31.0, 1.4893520410479952)	(32.0, 2.297597965763066)	(33.0, 3.083140353267039)	(34.0, 3.895926985424329)	(35.0, 4.545248149661718)	(36.0, 4.781364936657131)	(37.0, 4.994778186441447)	(38.0, 5.566907324161105)	(39.0, 5.948326749307542)	(40.0, 5.939245334423103)	(41.0, 5.716750669754347)	(42.0, 5.312627707396812)	(43.0, 4.931208282250375)	(44.0, 4.577033101757253)	(45.0, 3.995822549153158)	(46.0, 3.623484538891159)	(47.0, 3.4009898742224034)	(48.0, 3.0014076193070878)	(49.0, 2.6699359760250645)	(50.0, 2.306679380647505)	(51.0, 1.6119511419879218)	(52.0, 0.9263043182127775)	(53.0, 0.7038096535440221)	(54.0, 0.6402397493529493)	(55.0, 0.6629432865640467)	(56.0, 0.6402397493529493)	(57.0, 0.5721291377196567)	(58.0, 0.5494256005085592)	(59.0, 0.5857512600463152)	(60.0, 0.6447804567951687)	(61.0, 0.6402397493529493)	(62.0, 0.5948326749307542)	(63.0, 0.5448848930663397)	(64.0, 0.5221813558552423)	(65.0, 0.5130999409708032)	(66.0, 0.49493711120192524)	(67.0, 0.42228579212641326)	(68.0, 0.34055305816646236)	(69.0, 0.3269309358398038)	(70.0, 0.34055305816646236)	(71.0, 0.33147164328202333)	(72.0, 0.2996866911864869)	(73.0, 0.24973890932207238)	(74.0, 0.19979112745765792)	(75.0, 0.1725468828043409)	(76.0, 0.14984334559324344)	(77.0, 0.14076193070880444)	(78.0, 0.14076193070880444)	(79.0, 0.11805839349770696)	(80.0, 0.09535485628660946)	(81.0, 0.10443627117104845)	(82.0, 0.12259910093992644)	(83.0, 0.10443627117104845)	(84.0, 0.07265131907551196)	(85.0, 0.06356990419107296)	(86.0, 0.04994778186441448)	(87.0, 0.03632565953775598)	(88.0, 0.02270353721109749)	(89.0, 0.009081414884438995)	(90.0, 0.009081414884438995)	(91.0, 0.013622122326658494)	(92.0, 0.01816282976887799)	(93.0, 0.01816282976887799)	(94.0, 0.01816282976887799)	(95.0, 0.01816282976887799)	(96.0, 0.01816282976887799)	(97.0, 0.01816282976887799)	(98.0, 0.013622122326658494)	(99.0, 0.009081414884438995)	(100.0, 0.009081414884438995)
sample_b1	(0.0, 0.05423728813559322)	(1.0, 0.05423728813559322)	(2.0, 0.05423728813559322)	(3.0, 0.05423728813559322)	(4.0, 0.05423728813559322)	(5.0, 0.05423728813559322)	(6.0, 0.05423728813559322)	(7.0, 0.05423728813559322)	(8.0, 0.05423728813559322)	(9.0, 0.05423728813559322)	(10.0, 0.05423728813559322)	(11.0, 0.05423728813559322)	(12.0, 0.05423728813559322)	(13.0, 0.05152542372881356)	(14.0, 0.0488135593220339)	(15.0, 0.0488135593220339)	(16.0, 0.05152542372881356)	(17.0, 0.05152542372881356)	(18.0, 0.05152542372881356)	(19.0, 0.0976271186440678)	(20.0, 0.23322033898305083)	(21.0, 0.40949152542372885)	(22.0, 0.48271186440677966)	(23.0, 0.5071186440677966)	(24.0, 0.5505084745762712)	(25.0, 0.5966101694915255)	(26.0, 0.775593220338983)	(27.0, 1.2094915254237288)	(28.0, 1.7220338983050847)	(29.0, 2.2752542372881357)	(30.0, 3.1484745762711865)	(31.0, 4.113898305084746)	(32.0, 5.087457627118644)	(33.0, 5.987796610169491)	(34.0, 6.589830508474575)	(35.0, 7.048135593220339)	(36.0, 7.2189830508474575)	(37.0, 7.484745762711864)	(38.0, 7.384406779661017)	(39.0, 6.47322033898305)	(40.0, 5.396610169491526)	(41.0, 4.379661016949153)	(42.0, 3.5661016949152544)	(43.0, 2.8772881355932203)	(44.0, 2.4515254237288135)	(45.0, 2.207457627118644)	(46.0, 1.7383050847457626)	(47.0, 1.4969491525423728)	(48.0, 1.4671186440677966)	(49.0, 1.1715254237288135)	(50.0, 0.832542372881356)	(51.0, 0.5342372881355932)	(52.0, 0.3606779661016949)	(53.0, 0.2305084745762712)	(54.0, 0.11118644067796611)	(55.0, 0.06508474576271187)	(56.0, 0.03796610169491525)	(57.0, 0.03254237288135593)	(58.0, 0.029830508474576273)	(59.0, 0.02711864406779661)	(60.0, 0.02711864406779661)	(61.0, 0.02711864406779661)	(62.0, 0.02711864406779661)	(63.0, 0.02440677966101695)	(64.0, 0.02169491525423729)	(65.0, 0.02169491525423729)	(66.0, 0.02169491525423729)	(67.0, 0.02169491525423729)	(68.0, 0.02169491525423729)	(69.0, 0.02169491525423729)	(70.0, 0.02169491525423729)	(71.0, 0.02169491525423729)	(72.0, 0.02169491525423729)	(73.0, 0.02169491525423729)	(74.0, 0.02169491525423729)	(75.0, 0.018983050847457626)	(76.0, 0.016271186440677966)	(77.0, 0.016271186440677966)	(78.0, 0.016271186440677966)	(79.0, 0.016271186440677966)	(80.0, 0.016271186440677966)	(81.0, 0.016271186440677966)	(82.0, 0.016271186440677966)	(83.0, 0.010847457627118645)	(84.0, 0.005423728813559322)	(85.0, 0.005423728813559322)	(86.0, 0.005423728813559322)	(87.0, 0.005423728813559322)	(88.0, 0.005423728813559322)	(89.0, 0.005423728813559322)	(90.0, 0.005423728813559322)	(91.0, 0.005423728813559322)	(92.0, 0.005423728813559322)	(93.0, 0.005423728813559322)	(94.0, 0.005423728813559322)	(95.0, 0.005423728813559322)	(96.0, 0.005423728813559322)	(97.0, 0.005423728813559322)	(98.0, 0.005423728813559322)	(99.0, 0.005423728813559322)	(100.0, 0.005423728813559322)
sample_b2	(0.0, 0.0323502453226937)	(1.0, 0.0323502453226937)	(2.0, 0.0323502453226937)	(3.0, 0.0323502453226937)	(4.0, 0.0323502453226937)	(5.0, 0.0323502453226937)	(6.0, 0.0323502453226937)	(7.0, 0.0323502453226937)	(8.0, 0.0323502453226937)	(9.0, 0.0323502453226937)	(10.0, 0.0323502453226937)	(11.0, 0.0323502453226937)	(12.0, 0.0323502453226937)	(13.0, 0.03504609909958484)	(14.0, 0.03774195287647598)	(15.0, 0.03774195287647598)	(16.0, 0.03774195287647598)	(17.0, 0.05391707553782282)	(18.0, 0.08357146708362538)	(19.0, 0.15366366528279507)	(20.0, 0.2911522079042433)	(21.0, 0.48255782606351433)	(22.0, 0.5769127082547043)	(23.0, 0.5499541704857929)	(24.0, 0.5041246562786434)	(25.0, 0.5014288025017524)	(26.0, 0.7332722273143905)	(27.0, 1.161912977840082)	(28.0, 1.7280422709872216)	(29.0, 2.5017523049549792)	(30.0, 3.5693104006038716)	(31.0, 4.434679462985928)	(32.0, 5.116730468539386)	(33.0, 5.8203483043079745)	(34.0, 6.162721733973149)	(35.0, 6.63719199870599)	(36.0, 7.308459589151885)	(37.0, 7.661616433924625)	(38.0, 7.383943494904837)	(39.0, 6.429611257885372)	(40.0, 5.318919501806222)	(41.0, 4.348412142125411)	(42.0, 3.426430150428641)	(43.0, 2.7713376826440936)	(44.0, 2.4370518143095916)	(45.0, 2.038065455329703)	(46.0, 1.7010837332183102)	(47.0, 1.5231573839434949)	(48.0, 1.4180190866447404)	(49.0, 1.2185259071547958)	(50.0, 0.876152477489621)	(51.0, 0.5796085620315954)	(52.0, 0.36124440610341296)	(53.0, 0.20758074082061787)	(54.0, 0.09705073596808109)	(55.0, 0.07278805197606082)	(56.0, 0.0647004906453874)	(57.0, 0.05391707553782282)	(58.0, 0.043133660430258264)	(59.0, 0.03774195287647598)	(60.0, 0.03774195287647598)	(61.0, 0.03774195287647598)	(62.0, 0.03774195287647598)	(63.0, 0.03774195287647598)	(64.0, 0.03774195287647598)	(65.0, 0.03774195287647598)	(66.0, 0.03774195287647598)	(67.0, 0.03774195287647598)	(68.0, 0.03774195287647598)	(69.0, 0.03774195287647598)	(70.0, 0.03774195287647598)	(71.0, 0.03774195287647598)	(72.0, 0.03774195287647598)	(73.0, 0.03774195287647598)	(74.0, 0.03774195287647598)	(75.0, 0.0323502453226937)	(76.0, 0.02695853776891141)	(77.0, 0.02695853776891141)	(78.0, 0.02695853776891141)	(79.0, 0.02695853776891141)	(80.0, 0.02695853776891141)	(81.0, 0.02695853776891141)	(82.0, 0.02695853776891141)	(83.0, 0.01887097643823799)	(84.0, 0.010783415107564566)	(85.0, 0.010783415107564566)	(86.0, 0.010783415107564566)	(87.0, 0.010783415107564566)	(88.0, 0.010783415107564566)	(89.0, 0.010783415107564566)	(90.0, 0.010783415107564566)	(91.0, 0.010783415107564566)	(92.0, 0.010783415107564566)	(93.0, 0.010783415107564566)	(94.0, 0.010783415107564566)	(95.0, 0.010783415107564566)	(96.0, 0.010783415107564566)	(97.0, 0.010783415107564566)	(98.0, 0.010783415107564566)	(99.0, 0.010783415107564566)	(100.0, 0.010783415107564566)
sample_b3	(0.0, 0.021728502362974633)	(1.0, 0.021728502362974633)	(2.0, 0.021728502362974633)	(3.0, 0.021728502362974633)	(4.0, 0.021728502362974633)	(5.0, 0.021728502362974633)	(6.0, 0.021728502362974633)	(7.0, 0.021728502362974633)	(8.0, 0.021728502362974633)	(9.0, 0.021728502362974633)	(10.0, 0.024444565158346462)	(11.0, 0.02716062795371829)	(12.0, 0.02716062795371829)	(13.0, 0.02716062795371829)	(14.0, 0.02716062795371829)	(15.0, 0.02716062795371829)	(16.0, 0.02716062795371829)	(17.0, 0.043457004725949266)	(18.0, 0.059753381498180234)	(19.0, 0.06246944429355207)	(20.0, 0.06790156988429573)	(21.0, 0.08148188386115487)	(22.0, 0.12765495138247598)	(23.0, 0.16567983051768156)	(24.0, 0.22543321201586183)	(25.0, 0.32321147264924766)	(26.0, 0.44815036123635177)	(27.0, 0.6953120756151883)	(28.0, 1.0538323646042698)	(29.0, 1.5182791026128524)	(30.0, 2.110380792003911)	(31.0, 2.6128524091476995)	(32.0, 2.8545819979357923)	(33.0, 2.8681623119126516)	(34.0, 3.5254495083926343)	(35.0, 4.921505785213754)	(36.0, 5.907436579933728)	(37.0, 6.105709163995872)	(38.0, 6.396327883100657)	(39.0, 7.004725949263947)	(40.0, 7.197566407735347)	(41.0, 7.490901189635505)	(42.0, 7.539790319952197)	(43.0, 6.651637785865609)	(44.0, 5.309902764951926)	(45.0, 4.288663153892118)	(46.0, 3.7889075995437014)	(47.0, 3.1098919007007444)	(48.0, 2.2624803085447334)	(49.0, 1.3091422673692215)	(50.0, 0.5649410614373405)	(51.0, 0.24172958878809278)	(52.0, 0.05703731870280841)	(53.0, 0.02716062795371829)	(54.0, 0.024444565158346462)	(55.0, 0.021728502362974633)	(56.0, 0.016296376772230975)	(57.0, 0.016296376772230975)	(58.0, 0.016296376772230975)	(59.0, 0.016296376772230975)	(60.0, 0.016296376772230975)	(61.0, 0.016296376772230975)	(62.0, 0.016296376772230975)	(63.0, 0.013580313976859146)	(64.0, 0.010864251181487317)	(65.0, 0.010864251181487317)	(66.0, 0.010864251181487317)	(67.0, 0.010864251181487317)	(68.0, 0.010864251181487317)	(69.0, 0.010864251181487317)	(70.0, 0.010864251181487317)	(71.0, 0.010864251181487317)	(72.0, 0.010864251181487317)	(73.0, 0.010864251181487317)	(74.0, 0.010864251181487317)	(75.0, 0.010864251181487317)	(76.0, 0.010864251181487317)	(77.0, 0.010864251181487317)	(78.0, 0.010864251181487317)	(79.0, 0.010864251181487317)	(80.0, 0.010864251181487317)	(81.0, 0.010864251181487317)	(82.0, 0.010864251181487317)	(83.0, 0.010864251181487317)	(84.0, 0.010864251181487317)	(85.0, 0.010864251181487317)	(86.0, 0.010864251181487317)	(87.0, 0.010864251181487317)	(88.0, 0.010864251181487317)	(89.0, 0.010864251181487317)	(90.0, 0.010864251181487317)	(91.0, 0.010864251181487317)	(92.0, 0.010864251181487317)	(93.0, 0.010864251181487317)	(94.0, 0.010864251181487317)	(95.0, 0.010864251181487317)	(96.0, 0.010864251181487317)	(97.0, 0.010864251181487317)	(98.0, 0.010864251181487317)	(99.0, 0.010864251181487317)	(100.0, 0.010864251181487317)
sample_b4	(0.0, 0.021280557550607825)	(1.0, 0.021280557550607825)	(2.0, 0.021280557550607825)	(3.0, 0.021280557550607825)	(4.0, 0.021280557550607825)	(5.0, 0.021280557550607825)	(6.0, 0.021280557550607825)	(7.0, 0.021280557550607825)	(8.0, 0.021280557550607825)	(9.0, 0.021280557550607825)	(10.0, 0.018620487856781845)	(11.0, 0.015960418162955868)	(12.0, 0.015960418162955868)	(13.0, 0.023940627244433802)	(14.0, 0.031920836325911736)	(15.0, 0.031920836325911736)	(16.0, 0.031920836325911736)	(17.0, 0.04256111510121565)	(18.0, 0.0611816029579975)	(19.0, 0.13832362407895088)	(20.0, 0.32718857234059534)	(21.0, 0.5426542175404996)	(22.0, 0.6357566568244089)	(23.0, 0.5639347750911075)	(24.0, 0.4974330327454579)	(25.0, 0.5719149841725852)	(26.0, 0.7873806293724895)	(27.0, 1.1305296198760406)	(28.0, 1.6918043252733221)	(29.0, 2.425983560769292)	(30.0, 3.274545793099779)	(31.0, 4.210890325326524)	(32.0, 5.115314021227356)	(33.0, 5.729790120501157)	(34.0, 6.2059425956960075)	(35.0, 6.695395419359987)	(36.0, 6.964062458436411)	(37.0, 7.376373260979438)	(38.0, 7.152927406698055)	(39.0, 6.405447822732955)	(40.0, 5.809592211315937)	(41.0, 4.716303567153459)	(42.0, 3.551193041257681)	(43.0, 2.803713457292581)	(44.0, 2.3461814699545127)	(45.0, 1.965791503737398)	(46.0, 1.7024446040486263)	(47.0, 1.6226425132338467)	(48.0, 1.582741467826457)	(49.0, 1.2582129651796878)	(50.0, 0.8246216050860532)	(51.0, 0.5612747053972814)	(52.0, 0.35378926927885507)	(53.0, 0.19950522703694834)	(54.0, 0.10374271805921316)	(55.0, 0.07714202112095336)	(56.0, 0.06916181203947544)	(57.0, 0.06650174234564946)	(58.0, 0.0611816029579975)	(59.0, 0.05852153326417152)	(60.0, 0.05852153326417152)	(61.0, 0.05852153326417152)	(62.0, 0.05852153326417152)	(63.0, 0.05586146357034554)	(64.0, 0.05320139387651957)	(65.0, 0.05320139387651957)	(66.0, 0.05320139387651957)	(67.0, 0.05320139387651957)	(68.0, 0.05320139387651957)	(69.0, 0.05320139387651957)	(70.0, 0.05320139387651957)	(71.0, 0.05320139387651957)	(72.0, 0.05320139387651957)	(73.0, 0.05320139387651957)	(74.0, 0.05320139387651957)	(75.0, 0.039901045407389674)	(76.0, 0.026600696938259786)	(77.0, 0.026600696938259786)	(78.0, 0.026600696938259786)	(79.0, 0.026600696938259786)	(80.0, 0.026600696938259786)	(81.0, 0.026600696938259786)	(82.0, 0.026600696938259786)	(83.0, 0.021280557550607825)	(84.0, 0.015960418162955868)	(85.0, 0.015960418162955868)	(86.0, 0.015960418162955868)	(87.0, 0.015960418162955868)	(88.0, 0.015960418162955868)	(89.0, 0.015960418162955868)	(90.0, 0.015960418162955868)	(91.0, 0.015960418162955868)	(92.0, 0.015960418162955868)	(93.0, 0.015960418162955868)	(94.0, 0.015960418162955868)	(95.0, 0.015960418162955868)	(96.0, 0.015960418162955868)	(97.0, 0.015960418162955868)	(98.0, 0.015960418162955868)	(99.0, 0.015960418162955868)	(100.0, 0.015960418162955868)
