Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample_a1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.09950956002558818)	(21.0, 0.15992607861255242)	(22.0, 0.21323477148340325)	(23.0, 0.3127443315089914)	(24.0, 0.22034259719951668)	(25.0, 0.1919112943350629)	(26.0, 0.508209538702111)	(27.0, 0.8351695216433292)	(28.0, 0.9204634302366905)	(29.0, 1.3469329732034971)	(30.0, 2.512616390646101)	(31.0, 3.1025659250835167)	(32.0, 4.005259791029924)	(33.0, 6.429028360224607)	(34.0, 8.358803042149408)	(35.0, 9.019830833747957)	(36.0, 9.161987348070225)	(37.0, 8.607576942213377)	(38.0, 8.014073494917904)	(39.0, 7.66223612197029)	(40.0, 6.59961617741133)	(41.0, 5.085649299879167)	(42.0, 3.4757267751794725)	(43.0, 2.441538133484967)	(44.0, 2.071931196247068)	(45.0, 1.8089416447508708)	(46.0, 1.474873836093539)	(47.0, 1.5850451346932974)	(48.0, 1.499751226099936)	(49.0, 0.9702182102494846)	(50.0, 0.6716895301727202)	(51.0, 0.3482834600895586)	(52.0, 0.1883573814770062)	(53.0, 0.09240173430947474)	(54.0, 0.0035539128580567205)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_a2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0035916959988506574)	(20.0, 0.0754256159758638)	(21.0, 0.13648444795632497)	(22.0, 0.3017024639034552)	(23.0, 0.377128079879319)	(24.0, 0.2693771999137993)	(25.0, 0.24064363192299404)	(26.0, 0.4381869118597802)	(27.0, 0.7686229437540407)	(28.0, 0.9661662236908268)	(29.0, 1.2642769915954315)	(30.0, 2.2304432152862583)	(31.0, 3.067308383018461)	(32.0, 4.055024782702392)	(33.0, 6.303426477982904)	(34.0, 8.038215645427771)	(35.0, 8.731412973205947)	(36.0, 9.112132749084118)	(37.0, 8.681129229222039)	(38.0, 8.260900797356511)	(39.0, 7.944831549457653)	(40.0, 6.860139357804755)	(41.0, 5.118166798362187)	(42.0, 3.1750592629839813)	(43.0, 2.3238273112563754)	(44.0, 2.3022771352632714)	(45.0, 1.939515839379355)	(46.0, 1.508512319517276)	(47.0, 1.7204223834494647)	(48.0, 1.6090798074850945)	(49.0, 0.9877163996839307)	(50.0, 0.6429135837942677)	(51.0, 0.33402772789311114)	(52.0, 0.1508512319517276)	(53.0, 0.05746713598161052)	(54.0, 0.0035916959988506574)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_a3	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.05977496483825597)	(21.0, 0.13361462728551335)	(22.0, 0.17932489451476794)	(23.0, 0.2777777777777778)	(24.0, 0.26371308016877637)	(25.0, 0.21097046413502107)	(26.0, 0.44303797468354433)	(27.0, 0.7841068917018283)	(28.0, 0.9177215189873418)	(29.0, 1.4135021097046414)	(30.0, 2.4261603375527425)	(31.0, 2.848101265822785)	(32.0, 3.9170182841068915)	(33.0, 6.448663853727145)	(34.0, 8.164556962025317)	(35.0, 8.632208157524614)	(36.0, 9.0084388185654)	(37.0, 8.565400843881857)	(38.0, 8.076652601969057)	(39.0, 8.132911392405063)	(40.0, 7.10970464135021)	(41.0, 5.189873417721519)	(42.0, 3.2524613220815755)	(43.0, 2.2222222222222223)	(44.0, 2.151898734177215)	(45.0, 1.9866385372714488)	(46.0, 1.6315049226441631)	(47.0, 1.751054852320675)	(48.0, 1.6244725738396624)	(49.0, 0.9950773558368495)	(50.0, 0.6223628691983122)	(51.0, 0.3340365682137834)	(52.0, 0.1441631504922644)	(53.0, 0.07383966244725738)	(54.0, 0.007032348804500703)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_a4	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.006098304671301378)	(23.0, 0.012196609342602756)	(24.0, 0.006098304671301378)	(25.0, 0.012196609342602756)	(26.0, 0.04268813269910965)	(27.0, 0.054884742041712405)	(28.0, 0.03658982802780827)	(29.0, 0.04268813269910965)	(30.0, 0.054884742041712405)	(31.0, 0.2805220148798634)	(32.0, 0.9879253567508233)	(33.0, 2.2685693377241125)	(34.0, 3.726064154165142)	(35.0, 4.970118307110623)	(36.0, 5.6165386022685695)	(37.0, 5.762897914379803)	(38.0, 6.171484327356995)	(39.0, 7.305768996219052)	(40.0, 7.74484693255275)	(41.0, 6.982558848640077)	(42.0, 6.3727283815099405)	(43.0, 4.988413221124528)	(44.0, 3.872423466276375)	(45.0, 4.622514940846445)	(46.0, 4.573728503476033)	(47.0, 3.616294670081717)	(48.0, 3.128430296377607)	(49.0, 3.0979387730211)	(50.0, 2.5429930479326748)	(51.0, 1.2562507622880839)	(52.0, 0.6342236858153433)	(53.0, 0.47566776436150754)	(54.0, 0.43297963166239783)	(55.0, 0.5183558970606171)	(56.0, 0.6586169045005488)	(57.0, 0.6098304671301378)	(58.0, 0.5854372484449323)	(59.0, 0.6403219904866447)	(60.0, 0.6342236858153433)	(61.0, 0.5000609830467131)	(62.0, 0.3719965849493841)	(63.0, 0.43297963166239783)	(64.0, 0.5366508110745213)	(65.0, 0.43907793633369924)	(66.0, 0.3110135382363703)	(67.0, 0.3110135382363703)	(68.0, 0.28662031955116474)	(69.0, 0.27442371020856204)	(70.0, 0.25003049152335655)	(71.0, 0.18904744481034272)	(72.0, 0.15245761678253444)	(73.0, 0.09757287474082205)	(74.0, 0.0853762653982193)	(75.0, 0.10976948408342481)	(76.0, 0.06708135138431516)	(77.0, 0.018294914013904134)	(78.0, 0.030491523356506893)	(79.0, 0.054884742041712405)	(80.0, 0.03658982802780827)	(81.0, 0.03658982802780827)	(82.0, 0.04268813269910965)	(83.0, 0.018294914013904134)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_b1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.08575103615835358)	(21.0, 0.16435615263684436)	(22.0, 0.22866942975560953)	(23.0, 0.32156638559382594)	(24.0, 0.26797198799485494)	(25.0, 0.21437759039588394)	(26.0, 0.5681006145490924)	(27.0, 0.9611261969415464)	(28.0, 1.02186651422038)	(29.0, 1.5399456910104332)	(30.0, 2.7368872373874518)	(31.0, 3.3049878519365445)	(32.0, 4.16249821352008)	(33.0, 5.913248535086465)	(34.0, 6.788623695869658)	(35.0, 7.53537230241532)	(36.0, 9.03601543518651)	(37.0, 9.253965985422324)	(38.0, 8.489352579677005)	(39.0, 7.538945262255252)	(40.0, 6.609975703873089)	(41.0, 5.245105045019294)	(42.0, 3.287123052736887)	(43.0, 2.2724024581963698)	(44.0, 2.158067743318565)	(45.0, 2.4188938116335574)	(46.0, 2.158067743318565)	(47.0, 1.9401171930827497)	(48.0, 1.604258968129198)	(49.0, 1.0397313134200372)	(50.0, 0.6502786908675147)	(51.0, 0.3001286265542375)	(52.0, 0.14291839359725597)	(53.0, 0.03572959839931399)	(54.0, 0.003572959839931399)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_b2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0035888601780074652)	(20.0, 0.10766580534022395)	(21.0, 0.2153316106804479)	(22.0, 0.25480907263853)	(23.0, 0.32299741602067183)	(24.0, 0.2871088142405972)	(25.0, 0.23327591157048522)	(26.0, 0.5132070054550675)	(27.0, 0.9402813666379559)	(28.0, 1.0551248923341947)	(29.0, 1.51449899511915)	(30.0, 2.8028997990238302)	(31.0, 3.3842951478610392)	(32.0, 4.335343095033018)	(33.0, 6.1190066035027275)	(34.0, 6.9157335630203844)	(35.0, 7.443296009187482)	(36.0, 8.828596037898363)	(37.0, 9.083405110536894)	(38.0, 8.35127763422337)	(39.0, 7.62991673844387)	(40.0, 6.718346253229974)	(41.0, 5.297157622739018)	(42.0, 3.179730117714614)	(43.0, 2.214326729830606)	(44.0, 2.1425495262704564)	(45.0, 2.221504450186621)	(46.0, 2.146138386448464)	(47.0, 1.7944300890037326)	(48.0, 1.442721791559001)	(49.0, 1.180734998564456)	(50.0, 0.7393051966695378)	(51.0, 0.3517082974447316)	(52.0, 0.1758541487223658)	(53.0, 0.05024404249210451)	(54.0, 0.0035888601780074652)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_b3	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0035473572188719402)	(23.0, 0.04611564384533522)	(24.0, 0.10996807378503015)	(25.0, 0.15608371763036538)	(26.0, 0.20219936147570058)	(27.0, 0.2731465058531394)	(28.0, 0.36537779354380984)	(29.0, 0.6775452288045406)	(30.0, 1.4012061014544164)	(31.0, 2.362539907768712)	(32.0, 2.99751684994679)	(33.0, 3.650230578219227)	(34.0, 4.125576445548067)	(35.0, 3.9943242284498046)	(36.0, 3.990776871230933)	(37.0, 5.3494146860588865)	(38.0, 6.977651649521106)	(39.0, 8.46399432422845)	(40.0, 9.98226321390564)	(41.0, 8.744235544519332)	(42.0, 7.115998581057112)	(43.0, 7.612628591699185)	(44.0, 6.715147215324584)	(45.0, 4.874068818730047)	(46.0, 3.5083362894643493)	(47.0, 2.48669741042923)	(48.0, 2.0148989003192623)	(49.0, 1.1635331677899965)	(50.0, 0.4824405817665839)	(51.0, 0.14544164597374956)	(52.0, 0.0070947144377438804)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample_b4	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.10030090270812438)	(21.0, 0.20060180541624875)	(22.0, 0.31523140851124803)	(23.0, 0.4155323112193724)	(24.0, 0.2865740077374982)	(25.0, 0.2041839805129675)	(26.0, 0.5588193150881215)	(27.0, 1.0674881788221808)	(28.0, 1.196446482304055)	(29.0, 1.6012322682332714)	(30.0, 2.5934947700243587)	(31.0, 3.159478435305918)	(32.0, 4.0550222094856)	(33.0, 5.892678034102307)	(34.0, 6.910015761570426)	(35.0, 7.536896403496203)	(36.0, 8.776328986960882)	(37.0, 9.03424559392463)	(38.0, 8.52915890528729)	(39.0, 7.63003295601089)	(40.0, 6.763146582604958)	(41.0, 5.29445479295028)	(42.0, 3.1236566843387306)	(43.0, 2.2281129101590484)	(44.0, 2.131394182547643)	(45.0, 2.2925920618999855)	(46.0, 2.206619859578736)	(47.0, 1.9379567273248317)	(48.0, 1.565410517266084)	(49.0, 1.0889812294024932)	(50.0, 0.709270669150308)	(51.0, 0.3653818598653102)	(52.0, 0.17552657973921765)	(53.0, 0.05015045135406219)	(54.0, 0.0035821750967187276)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
