Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample_a1	(1.0, 14.819816618096523)	(2.0, 22.74504229156301)	(3.0, 24.39405785770133)	(4.0, 18.05387731892814)	(5.0, 11.230364631459237)	(6.0, 5.629397967161845)	(7.0, 1.9404364204989692)	(8.0, 0.7960764802047055)	(9.0, 0.31985215722510485)	('>10', 0.0710782571611344)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_a2	(1.0, 15.13540693915667)	(2.0, 22.584584440772932)	(3.0, 24.998204152000575)	(4.0, 17.901012858271674)	(5.0, 11.242008476402557)	(6.0, 5.258242942317362)	(7.0, 2.212484735292005)	(8.0, 0.4022699518712736)	(9.0, 0.1939515839379355)	('>10', 0.07183391997701315)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_a3	(1.0, 14.978902953586498)	(2.0, 23.080168776371305)	(3.0, 23.375527426160335)	(4.0, 17.946554149085795)	(5.0, 11.0056258790436)	(6.0, 6.118143459915612)	(7.0, 2.2151898734177213)	(8.0, 0.9563994374120955)	(9.0, 0.25316455696202533)	('>10', 0.07032348804500703)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_a4	(1.0, 27.39358458348579)	(2.0, 18.709598731552628)	(3.0, 22.539334065129893)	(4.0, 14.928649835345773)	(5.0, 10.306134894499328)	(6.0, 3.7321624588364433)	(7.0, 1.2806439809732895)	(8.0, 0.8781558726673985)	(9.0, 0.0)	('>10', 0.2317355775094524)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_b1	(1.0, 12.040874660568814)	(2.0, 17.578962412462484)	(3.0, 22.01657853365728)	(4.0, 20.551664999285407)	(5.0, 13.827354580534514)	(6.0, 7.546091181935115)	(7.0, 3.60154351865085)	(8.0, 1.7721880806059738)	(9.0, 0.4501929398313563)	('>10', 0.6145490924682007)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_b2	(1.0, 12.324145851277635)	(2.0, 17.585414872236576)	(3.0, 22.39448751076658)	(4.0, 19.810508182601204)	(5.0, 13.637668676428365)	(6.0, 8.05340223944875)	(7.0, 3.0648865920183748)	(8.0, 2.0671834625323)	(9.0, 0.8397932816537468)	('>10', 0.2225093310364628)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_b3	(1.0, 13.52962043277758)	(2.0, 14.955658034764099)	(3.0, 15.920539198297268)	(4.0, 15.15431003902093)	(5.0, 13.01880099326002)	(6.0, 10.301525363604116)	(7.0, 7.846754168144732)	(8.0, 5.051436679673643)	(9.0, 3.0010642071656615)	('>10', 1.2202908832919475)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample_b4	(1.0, 12.122080527296173)	(2.0, 17.524000573148015)	(3.0, 22.116349047141423)	(4.0, 19.802263934661127)	(5.0, 14.937670153317095)	(6.0, 7.952428714715576)	(7.0, 3.560682046138415)	(8.0, 1.3755552371399913)	(9.0, 0.32239575870468545)	('>10', 0.2865740077374982)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
