Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
sample_a1	(1, 30.549008458312603)	(2, 30.03006610277916)	(3, 30.568057431231786)	(4, 31.20555831971)	(5, 31.72194185798564)	(6, 32.280830194043645)	(7, 32.89181889260075)	(8, 33.422062691022816)	(9, 34.01123036463146)	(10, 34.91296467410619)	(12, 36.054623640628336)	(14, 37.218210249484684)	(16, 37.981981661809655)	(18, 37.6880019901912)	(20, 37.35158859904755)	(22, 36.994811287227236)	(24, 36.62292984576018)	(26, 36.26636576871135)	(28, 35.924621508280616)	(30, 35.55426824934253)	(32, 35.19390148553558)	(34, 34.856137607505865)	(36, 34.481484114009525)	(38, 34.12250337621721)	(40, 33.75506432582273)	(42, 33.424230577866226)	(44, 33.0535930058995)	(46, 32.69144928566351)	(48, 32.35155305991897)	(50, 31.965740280048333)	(52, 31.632987419148485)	(54, 31.264517734025162)	(56, 30.915097021821026)	(58, 30.542362641268035)	(60, 30.197597554907954)	(62, 29.824223470040515)	(64, 29.470893453692515)	(66, 29.140628331793305)	(68, 28.730400170587817)	(70, 28.389331153600114)	(72, 27.9976188783851)	(74, 27.673111095315942)	(76, 27.31125168810861)	(78, 26.954083445873906)	(80, 26.61017129859976)	(82, 26.264944203568128)	(84, 25.895550501101713)	(86, 25.535787902480628)	(88, 25.20115146776601)	(90, 24.831899921813918)	(92, 24.449569976544176)	(94, 24.114258298386524)	(96, 23.41484824792096)	(98, 20.926931551638354)	(100, 18.983509844338617)
sample_a2	(1, 30.584584440772932)	(2, 30.035629624308598)	(3, 30.579484232454565)	(4, 31.155664104590187)	(5, 31.70727677609367)	(6, 32.31772142805833)	(7, 32.884850226276846)	(8, 33.48760864880396)	(9, 34.0159471302349)	(10, 34.9203002657855)	(12, 36.05674879678184)	(14, 37.2096832124129)	(16, 37.983765534085194)	(18, 37.69754327993678)	(20, 37.339594856691335)	(22, 36.98150276560592)	(24, 36.61841821708211)	(26, 36.27009553911357)	(28, 35.897852165792685)	(30, 35.528984986710725)	(32, 35.175454349543855)	(34, 34.828963436534735)	(36, 34.49953307952015)	(38, 34.12524243947992)	(40, 33.74879678184038)	(42, 33.389699015875294)	(44, 33.043459521586094)	(46, 32.66880971194598)	(48, 32.34778392356871)	(50, 31.977911069607067)	(52, 31.62226133180088)	(54, 31.261116299116445)	(56, 30.914050714747503)	(58, 30.55983765534085)	(60, 30.193233244738167)	(62, 29.859672437324903)	(64, 29.469290999209825)	(66, 29.086057036132463)	(68, 28.78597083542849)	(70, 28.420120680985562)	(72, 28.053121183823002)	(74, 27.67491559514403)	(76, 27.308634437181237)	(78, 26.93868974929962)	(80, 26.614144098843475)	(82, 26.28399540262912)	(84, 25.87615832195963)	(86, 25.537174053588103)	(88, 25.22681560232742)	(90, 24.818763019897997)	(92, 24.481790101285828)	(94, 24.097945549888657)	(96, 23.381114862438043)	(98, 20.85399755764672)	(100, 19.027045470871347)
sample_a3	(1, 30.5746835443038)	(2, 30.016526019690577)	(3, 30.566033755274262)	(4, 31.145358649789028)	(5, 31.70815752461322)	(6, 32.31462728551336)	(7, 32.906469760900144)	(8, 33.476863572433196)	(9, 34.0407876230661)	(10, 34.90896624472573)	(12, 36.05513361462729)	(14, 37.21283403656821)	(16, 37.97401547116737)	(18, 37.69142053445851)	(20, 37.35052742616034)	(22, 36.998347398030944)	(24, 36.611954992967654)	(26, 36.27144866385373)	(28, 35.90815752461322)	(30, 35.56891701828411)	(32, 35.20966947960619)	(34, 34.84676511954993)	(36, 34.466279887482415)	(38, 34.11209563994374)	(40, 33.75893108298172)	(42, 33.394444444444446)	(44, 33.09855836849508)	(46, 32.71146272855134)	(48, 32.36533052039381)	(50, 31.99018987341772)	(52, 31.58976793248945)	(54, 31.269409282700423)	(56, 30.907383966244726)	(58, 30.57907876230661)	(60, 30.182489451476794)	(62, 29.81571729957806)	(64, 29.47848101265823)	(66, 29.10668073136428)	(68, 28.74229957805907)	(70, 28.382630098452882)	(72, 28.04690576652602)	(74, 27.648382559774966)	(76, 27.28990857946554)	(78, 26.980661040787624)	(80, 26.609071729957805)	(82, 26.227883263009844)	(84, 25.904184247538677)	(86, 25.552637130801685)	(88, 25.185443037974686)	(90, 24.824789029535864)	(92, 24.450562587904358)	(94, 24.10323488045007)	(96, 23.403445850914203)	(98, 20.92992264416315)	(100, 19.01037271448664)
sample_a4	(1, 30.50603732162459)	(2, 30.2281985608001)	(3, 30.812294182217343)	(4, 31.83424807903403)	(5, 32.3472374679839)	(6, 32.84620075618978)	(7, 33.31406269057202)	(8, 33.78180265886083)	(9, 34.51494084644469)	(10, 35.30643980973289)	(12, 36.24917672886937)	(14, 37.50622027076473)	(16, 38.13867544822539)	(18, 37.87175265276253)	(20, 37.56897182583242)	(22, 37.22563727283815)	(24, 36.892425905598245)	(26, 36.561775826320286)	(28, 36.27521648981583)	(30, 35.91590437858275)	(32, 35.55781192828394)	(34, 35.259726795950726)	(36, 34.923283327235026)	(38, 34.595011586778874)	(40, 34.21502622271009)	(42, 33.892364922551536)	(44, 33.538907183802905)	(46, 33.176789852421024)	(48, 32.84138309549945)	(50, 32.54415172582022)	(52, 32.19209659714599)	(54, 31.79424320039029)	(56, 31.38327844859129)	(58, 30.9212708866935)	(60, 30.45725088425418)	(62, 30.122514940846443)	(64, 29.777472862544215)	(66, 29.43663861446518)	(68, 28.993840712281987)	(70, 28.635260397609464)	(72, 28.213135748261983)	(74, 27.762714965239663)	(76, 27.20374435906818)	(78, 26.97304549335285)	(80, 26.732040492743018)	(82, 26.334126112940602)	(84, 25.917611903890716)	(86, 25.474570069520674)	(88, 25.076411757531403)	(90, 24.62507622880839)	(92, 24.178375411635564)	(94, 23.667337480180507)	(96, 22.784059031589216)	(98, 20.34089523112575)	(100, 17.625869008415663)
sample_b1	(1, 30.606188366442762)	(2, 29.98999571244819)	(3, 30.580034300414464)	(4, 31.166857224524797)	(5, 31.715378019151064)	(6, 32.282549664141776)	(7, 32.893025582392454)	(8, 33.456481349149634)	(9, 34.021723595826785)	(10, 34.91053308560812)	(12, 36.05395169358296)	(14, 37.2033728740889)	(16, 37.98706588537945)	(18, 37.70030012862655)	(20, 37.33721594969273)	(22, 36.988959554094606)	(24, 36.625017864799204)	(26, 36.27150921823639)	(28, 35.916607117336)	(30, 35.54062455338002)	(32, 35.21244819208232)	(34, 34.8437544661998)	(36, 34.47663284264685)	(38, 34.125803915963985)	(40, 33.73735172216664)	(42, 33.39449049592683)	(44, 33.07135200800343)	(46, 32.67968415035015)	(48, 32.33578676575675)	(50, 31.95030012862655)	(52, 31.616800057167357)	(54, 31.26361297699014)	(56, 30.887844790624555)	(58, 30.51725739602687)	(60, 30.173895955409463)	(62, 29.833714449049594)	(64, 29.45008575103616)	(66, 29.106509932828352)	(68, 28.776797198799485)	(70, 28.404816349864227)	(72, 28.065956838645135)	(74, 27.68064884950693)	(76, 27.321173360011432)	(78, 26.998213520080036)	(80, 26.6094397598971)	(82, 26.267007288838073)	(84, 25.859582678290696)	(86, 25.526797198799485)	(88, 25.15149349721309)	(90, 24.82653279977133)	(92, 24.460197227383162)	(94, 24.116442761183364)	(96, 23.39681291982278)	(98, 20.88370015721023)	(100, 19.021616407031587)
sample_b2	(1, 30.588931955211024)	(2, 30.006388171116853)	(3, 30.603933390755095)	(4, 31.145923054837784)	(5, 31.784453057708873)	(6, 32.316322136089575)	(7, 32.894989951191505)	(8, 33.463106517370086)	(9, 34.05842664369796)	(10, 34.91063738156761)	(12, 36.074827734711455)	(14, 37.209732988802756)	(16, 37.985824002296866)	(18, 37.7022681596325)	(20, 37.332364341085274)	(22, 36.97333476887741)	(24, 36.625502440424924)	(26, 36.26241745621591)	(28, 35.9238084984209)	(30, 35.55803186907838)	(32, 35.202160493827165)	(34, 34.81538903244329)	(36, 34.492283950617285)	(38, 34.11021389606661)	(40, 33.75976169968418)	(42, 33.407012632787826)	(44, 33.086455641688204)	(46, 32.712101636520245)	(48, 32.313092161929376)	(50, 31.994365489520526)	(52, 31.602246626471434)	(54, 31.243252942865347)	(56, 30.87639965546942)	(58, 30.55336635084697)	(60, 30.1903890324433)	(62, 29.83326155612977)	(64, 29.497703129486077)	(66, 29.11882716049383)	(68, 28.731409704277922)	(70, 28.381567614125753)	(72, 28.018051966695374)	(74, 27.67725380419179)	(76, 27.348083548664945)	(78, 26.949002296870514)	(80, 26.60138530002871)	(82, 26.262525122021245)	(84, 25.877117427505024)	(86, 25.530397645707723)	(88, 25.16350846971002)	(90, 24.78391472868217)	(92, 24.46231696813092)	(94, 24.140934539190354)	(96, 23.41476457077232)	(98, 20.889283663508472)	(100, 19.013853000287106)
sample_b3	(1, 30.55927633912735)	(2, 30.017807733238737)	(3, 30.538630720113517)	(4, 31.166938630720114)	(5, 31.73628946434906)	(6, 32.29932600212842)	(7, 32.862433487052144)	(8, 33.480099326002126)	(9, 34.03277758070238)	(10, 34.885491308974814)	(12, 36.03348705214615)	(14, 37.20326356864136)	(16, 37.98666193685705)	(18, 37.69648811635332)	(20, 37.35182688896772)	(22, 36.99258602341256)	(24, 36.622454771195464)	(26, 36.26225611919121)	(28, 35.90461156438454)	(30, 35.567612628591704)	(32, 35.19804895352962)	(34, 34.833345157857394)	(36, 34.45388435615466)	(38, 34.14451933309684)	(40, 33.75611919120256)	(42, 33.39943242284498)	(44, 33.04742816601632)	(46, 32.67839659453707)	(48, 32.30780418588152)	(50, 31.989748137637463)	(52, 31.616708052500886)	(54, 31.2534586732884)	(56, 30.903086200780418)	(58, 30.57144377438808)	(60, 30.168960624334872)	(62, 29.790918765519688)	(64, 29.46452642781128)	(66, 29.06974104292302)	(68, 28.77066335579993)	(70, 28.396062433487053)	(72, 28.021461511174174)	(74, 27.68637814827953)	(76, 27.338630720113514)	(78, 26.976871230932957)	(80, 26.636608726498757)	(82, 26.298510109968074)	(84, 25.94707343029443)	(86, 25.503724725079817)	(88, 25.205108194395176)	(90, 24.808974813763747)	(92, 24.47953174884711)	(94, 24.11713373536715)	(96, 23.402589570769777)	(98, 20.902695991486343)	(100, 18.96016317843207)
sample_b4	(1, 30.594569422553374)	(2, 29.96776042412953)	(3, 30.569565840378278)	(4, 31.180255050866887)	(5, 31.70540192004585)	(6, 32.28592921622009)	(7, 32.87419401060324)	(8, 33.45579595930649)	(9, 34.05330276543918)	(10, 34.91983092133543)	(12, 36.0733629459808)	(14, 37.20715718584324)	(16, 37.9888594354492)	(18, 37.702106318956865)	(20, 37.33933944691216)	(22, 36.9749964178249)	(24, 36.62247456655681)	(26, 36.26357644361656)	(28, 35.90976500931365)	(30, 35.56164923341453)	(32, 35.19823756985241)	(34, 34.829452643645226)	(36, 34.477575583894534)	(38, 34.13884510674882)	(40, 33.77077661556097)	(42, 33.41205760137556)	(44, 33.06766728757702)	(46, 32.70443473276974)	(48, 32.314873191001574)	(50, 31.97284711276687)	(52, 31.616062473133688)	(54, 31.25608969766442)	(56, 30.920224960596073)	(58, 30.56444332998997)	(60, 30.216542484596648)	(62, 29.814264221235135)	(64, 29.447091273821464)	(66, 29.096862014615276)	(68, 28.759528585757273)	(70, 28.40940679180398)	(72, 28.05946410660553)	(74, 27.685986531021634)	(76, 27.35599656111191)	(78, 26.956978077088408)	(80, 26.650881215073795)	(82, 26.26705115346038)	(84, 25.906326121220808)	(86, 25.524717008167357)	(88, 25.13336437885084)	(90, 24.815195586760282)	(92, 24.46002292592062)	(94, 24.113769881071786)	(96, 23.38562114916177)	(98, 20.94633901705115)	(100, 19.013325691359796)
