"","logFC","logCPM","PValue","FDR","diffexpressed"
"ENSMUSG00000064341",-3.2742187297768,17.3519327182235,0,0,"DOWN"
"ENSMUSG00000064354",1.50293558808131,17.3692051340138,0,0,"UP"
"ENSMUSG00000064345",-0.931606816031228,11.9208836599387,3.0147810700811e-08,9.04434321024329e-08,"NO"
"ENSMUSG00000064368",0.724853309466536,10.5574906765135,0.0133727912171377,0.0286004269283864,"NO"
"ENSMUSG00000064351",0.722136389263081,10.5221555133061,0.0158891260713258,0.0286004269283864,"NO"
"ENSMUSG00000064358",-0.197847313026071,12.1541074072257,0.211582648807192,0.317373973210789,"NO"
"ENSMUSG00000065947",0.321647618815668,9.96087015531928,0.403336408121299,0.518575381870242,"NO"
"ENSMUSG00000064363",-0.013237882409467,18.6209727112381,0.504765916323574,0.567861655864021,"NO"
"ENSMUSG00000064357",-0.000308536449673841,17.9184933706434,0.99291580487938,0.99291580487938,"NO"
