"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000064341",2395.71972620423,-3.33854381536131,0.0897120571264501,-37.2139924364413,4.05304997841806e-303,4.86365997410168e-302
"ENSMUSG00000064345",51.765299984993,-0.999162337463982,0.291034181416231,-3.43314428773232,0.000596624501631215,0.00238649800652486
"ENSMUSG00000064351",17.5184746115327,0.663634482309317,0.500208102869576,1.32671677748162,0.18460238891927,0.369204777838541
"ENSMUSG00000064354",2208.36875832851,1.43848545141643,0.0686488625687718,20.9542503340877,1.71609775823558e-97,1.02965865494135e-96
"ENSMUSG00000064357",3345.62841593133,-0.0647829645186001,0.062665425573559,-1.03379118430394,0.301233793799896,0.484114640374892
"ENSMUSG00000064358",59.7563595085899,-0.26731985672517,0.270337744897359,-0.98883660077384,0.322743093583261,0.484114640374892
"ENSMUSG00000064360",2.5064258985587,-0.00247077818629877,1.42967168867685,-0.00172821369120449,0.998621085664426,0.998621085664426
"ENSMUSG00000065947",11.3475662521204,0.253275996878549,0.605816806509981,0.418073572995826,0.675893326055685,0.871148742694953
"ENSMUSG00000064363",5446.14534896172,-0.0778109474999125,0.0576874340223398,-1.34883703563205,0.177389315970653,0.369204777838541
"ENSMUSG00000064367",3.47072913614401,-0.387213540840734,1.10472013123296,-0.350508268921079,0.725957285579128,0.871148742694953
"ENSMUSG00000064368",18.0822399463923,0.665997823265502,0.497553600098522,1.33854487864951,0.180718880939906,0.369204777838541
"ENSMUSG00000064370",0.985269550239342,-0.229496283826272,2.13144414084278,-0.107671732713356,0.914256093153317,0.997370283439982
